Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access,Transaction_Point_ID,Transaction_Point_Name,TP_MAS_Function,TP_ERD_Source,Val_Primary
Interline Settlement Information / Method Code,AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Market,Categorical,Settlements,Method code for settlement — ICH / ACH / bilateral,OBSERVED,TP05,Interline Proration & Settlement,Distribution / GDS,IATA SIS IS-XML Handbook; IATA Interline Checklist,Market
Tax (Filed Amount),AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,Numeric,Taxes,Filed tax amount — compulsory contribution to state revenue,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Cost
Tax (Filed Amount),AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,Numeric,Taxes,Filed tax amount — compulsory contribution to state revenue,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Tax Code,AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,String (code),Taxes,Identifies the specific tax — e.g. XF (PFC) / ZP (federal segment tax),OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Cost
Tax Code,AIDM / RP1008,Industry Schema,Revenue Management,Regulator,Regulator,Cost,String (code),Taxes,Identifies the specific tax — e.g. XF (PFC) / ZP (federal segment tax),OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Tax (Refund Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Taxes,Whether tax is refundable on cancellation,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Risk
Tax (Refund Indicator),AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Risk,Boolean,Taxes,Whether tax is refundable on cancellation,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Loyalty Program Account Identifier,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Option,String,Loyalty Accounts,Account identifier within a rewards program,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Option
Loyalty Program Account Tier Code,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Market,Categorical,Loyalty Accounts,Tier level determining benefit access,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Market
Loyalty Redemption (Loyalty Currency Amount),AIDM / RP1008,Industry Schema,Revenue Management,Passenger,Passenger,Option,Numeric,Payments,Virtual currency used in exchange for goods or services,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Option
Loyalty Redemption (Loyalty Currency Amount),AIDM / RP1008,Industry Schema,Revenue Management,Passenger,Passenger,Option,Numeric,Payments,Virtual currency used in exchange for goods or services,OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Option
Qualifying Balance Amount,AIDM / RP1008,Industry Schema,Revenue Management,Carrier,Carrier,Market,Numeric,Loyalty Accounts,Points required to attain or retain status tier,OBSERVED,TP11,Loyalty Issuance & Redemption,Revenue Management,IATA IAWG IFRS 15 Loyalty Guide,Market
Payment Card (Card Number),AIDM / RP1008,Industry Schema,Fraud / Payment,Passenger,Passenger,Risk,String (masked),Payments,Device enabling cardholder to make payment by electronic funds transfer,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Payment Information (Payment Status Code),AIDM / RP1008,Industry Schema,Fraud / Payment,Vendor,Vendor,Risk,Categorical,Payments,Status of payment settlement,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Payment Information (Payment Status Code),AIDM / RP1008,Industry Schema,Fraud / Payment,Vendor,Vendor,Risk,Categorical,Payments,Status of payment settlement,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Settlement Data (Net Clearance Amount),AIDM / RP1008,Industry Schema,Fraud / Payment,Amadeus (SIS),Vendor,Income,Numeric,Payments,Net amount to be cleared as result of payment commitment,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Income
Clearance (Status Code),AIDM / RP1008,Industry Schema,Fraud / Payment,Amadeus (SIS),Vendor,Risk,Categorical,Payments,Status of fund transfer between payer and payee,MNAR,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Flight Leg (Arrival Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,Actual on-blocks time — triggers ground resource activation,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Flight Leg (Arrival Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,Actual on-blocks time — triggers ground resource activation,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Flight Leg (Departure Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,Scheduled off-blocks time — baseline for delay calculation,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Flight Leg (Departure Date Time),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,Scheduled off-blocks time — baseline for delay calculation,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Transport Service Leg (Status Code),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Risk,Categorical,Flights,Operational status of flight leg,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Risk
Transport Service Leg (Status Code),AIDM / RP1008,Industry Schema,Distribution / GDS,IATA,Industry Body,Risk,Categorical,Flights,Operational status of flight leg,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Risk
FlightLegNotifRQ (message),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost/Risk,XML message,Flights,Primary AIDX message — carrier pushes flight status to airport systems,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
FlightLegNotifRQ (message),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost/Risk,XML message,Flights,Primary AIDX message — carrier pushes flight status to airport systems,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Delay Code (IATA AHM730),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Risk,String (IATA code),Flights,Standardized code classifying reason for delay,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Risk
Delay Duration (minutes),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Risk,Numeric (minutes),Flights,Total delay in minutes — input to compensation calculation,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Risk
Scheduled Time of Departure (STD),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,DateTime (UTC),Flights,Filed schedule time — baseline for all delay calculations,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Scheduled Time of Departure (STD),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,DateTime (UTC),Flights,Filed schedule time — baseline for all delay calculations,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Actual Time of Departure (ATD),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Risk,DateTime (UTC),Flights,Wheels-up time — triggers delay code assignment,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Risk
Actual Time of Arrival (ATA),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,Wheels-down time — triggers ground resource activation,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Actual Time of Arrival (ATA),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,Wheels-down time — triggers ground resource activation,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
TPA_Extension (IROPs),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost/Risk,XML (custom),Order Management,Custom fields for IROPs — rebooking triggers and compensation flags,MNAR,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
ELDT (Estimated Landing Time),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,CDM milestone — estimated landing time,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
ELDT (Estimated Landing Time),AIDX v22.1,Industry Schema,Distribution / GDS,IATA,Industry Body,Cost,DateTime (UTC),Flights,CDM milestone — estimated landing time,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
TSAT (Target Start Up Approval Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,CDM milestone — airport-assigned departure slot time,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
TSAT (Target Start Up Approval Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,CDM milestone — airport-assigned departure slot time,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
AOBT (Actual Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,CDM milestone — actual gate departure — triggers taxi cost,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
AOBT (Actual Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost,DateTime (UTC),Flights,CDM milestone — actual gate departure — triggers taxi cost,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
TOBT (Target Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Option,DateTime (UTC),Flights,CDM milestone — airline's requested departure time,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Option
TOBT (Target Off-Block Time),AIDX v22.1,Industry Schema,Distribution / GDS,Carrier,Carrier,Option,DateTime (UTC),Flights,CDM milestone — airline's requested departure time,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Option
Gate Assignment,AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost/Market,String,Flights,Terminal gate allocated — determines ground handling cost,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Cost
Gate Assignment,AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost/Market,String,Flights,Terminal gate allocated — determines ground handling cost,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Cost
Gate Assignment,AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Cost/Market,String,Flights,Terminal gate allocated — determines ground handling cost,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Cost
Passenger Count (ops),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Income,Numeric,Parties,Actual passengers on flight for ground preparation,OBSERVED,TP07,Delay Event & IROPs Trigger,Disruption Management,AIDX v22.1; EC 261/2004; APPR SOR/2019-150,Income
Passenger Count (ops),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Income,Numeric,Parties,Actual passengers on flight for ground preparation,OBSERVED,TP08,Ground Handling Service Delivery,Workforce Management,IATA SGHA 2023; IATA SSIM,Income
Passenger Count (ops),AIDX v22.1,Industry Schema,Distribution / GDS,Airport,Airport,Income,Numeric,Parties,Actual passengers on flight for ground preparation,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Income
PAN (Primary Account Number),PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,String (masked),Payments,Unique payment card number identifying issuer and cardholder account — storage restricted,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Cardholder Name,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,String,Payments,Name on payment card — must be stored minimally per Req. 3.2,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Expiration Date,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Date,Payments,Card expiration date — storage kept to minimum,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Service Code,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,String (3-4 digit),Payments,Defines service attributes and usage restrictions — storage kept to minimum,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Full Track Data,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,String,Payments,Magnetic stripe data — CANNOT be stored after authorization,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Card Verification Code,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,String (masked),Payments,CVV/CVC — CANNOT be stored after authorization,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
PIN / PIN Block,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Vendor (Stripe),Vendor,Risk,Encrypted,Payments,PIN data — CANNOT be stored after authorization,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Cardholder Data Environment (CDE),PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Object,Payments,System components storing processing or transmitting cardholder data,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Network Security Controls,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Object,Payments,Req. 1 — firewalls enforcing policy between network segments,MNAR,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Cost
Multi-Factor Authentication,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Boolean/Process,Payments,Req. 8 — at least two authentication factors required for CDE access,OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Cost
Encryption Requirement,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Cost,Boolean,Payments,Req. 3.5 — stored PAN must be rendered unreadable (strong cryptography),OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Cost
Audit Log,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Object,Payments,Req. 10 — log and monitor all access to system components and cardholder data,OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Audit Log,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Object,Payments,Req. 10 — log and monitor all access to system components and cardholder data,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Incident Response Plan,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Document,Payments,Req. 12 — mandatory for all entities processing cardholder data,OBSERVED,TP09,Payment Authorisation & Fraud Scoring,Fraud / Payment,PCI DSS v4.0.1; ISO 20022 pacs.008 (pending M3),Risk
Incident Response Plan,PCI DSS v4.0.1,Industry Schema,Fraud / Payment,Carrier,Carrier,Risk,Document,Payments,Req. 12 — mandatory for all entities processing cardholder data,OBSERVED,TP10,Payment Clearance & Dispute,Fraud / Payment / Distribution,PCI DSS v4.0.1; IATA SIS IS-XML,Risk
Landing Fee (CAD/tonne MTOW),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Numeric,Flights,Fee per landing based on Maximum Take-Off Weight — Canada,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Airport Improvement Fee (AIF) — Departing,GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Numeric,Parties,Per-passenger fee collected by carrier on GTAA behalf — departing,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Airport Improvement Fee (AIF) — Connecting,GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Numeric,Parties,Lower AIF rate for connecting passengers,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
AIF in lieu (per seat),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost/Risk,Numeric,Parties,Fee for carriers not signing AIF agreement — AIF rate × seats,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Aircraft Parking Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Numeric,Flights,Hourly fee for aircraft on GTAA parking positions,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Apron Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Cost,Numeric,Flights,Fee for use of apron surfaces adjacent to terminal,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Slot Holding Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Option,Numeric,Flights,Fee based on initial state slot holding — invoiced twice annually,OBSERVED,TP06,Schedule Publication & Slot Coordination,Distribution / GDS / Workforce Management,IATA SSIM Chapter 7; AIDX v22.1 CDM milestones,Option
Slot Holding Fee (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Option,Numeric,Flights,Fee based on initial state slot holding — invoiced twice annually,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Option
Inflation Adjustment Rate (YYZ),GTAA Aeronautical Fees 2025,Airport Document,Revenue Management,GTAA (YYZ),Airport,Market,Numeric (%),Parties,Annual fee increase factor — 4% example for 2023,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
Public Landing Area Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Numeric,Flights,Fee for landing at EWR for non-signatory airlines,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Ramp and Apron Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Numeric,Flights,$500 first 15 min / $1000 each additional 15 min,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Aircraft Parking / Storage Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Numeric,Flights,Fee for aircraft stored in public parking area,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Federal Inspection Space Charge (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Cost,Numeric,Parties,Per-passenger fee for use of international arrivals facility,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Passenger Facility Charge (PFC — EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,FAA / PANYNJ,Regulator,Cost,Numeric,Parties,FAA-approved per-passenger infrastructure fee,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
Non-Signatory Rate Premium (EWR),PANYNJ Schedule of Charges 2024,Airport Document,Revenue Management,Port Authority NY/NJ,Airport,Market,Numeric (%),Parties,Higher rate applied to airlines without use agreement,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
Maximum Allowable Yield (MAY/pax — LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Numeric (GBP/pax),Parties,CAA-regulated price cap per passenger — £23.73 (2025),OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
Airport Charge per Passenger (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Income,Numeric,Parties,Actual charge levied per passenger within MAY cap,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Income
K Factor (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Numeric,Parties,Annual correction factor for over/under-recovery vs MAY,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
CPI Adjustment (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Numeric (%),Parties,Consumer Price Index applied to MAY — 3.249% (2025),OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
WACC (LHR — 4.01%),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Numeric (%),Parties,Weighted Average Cost of Capital — input to AK Factor calculation,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
Airfield Charge per ATM (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Cost,Numeric,Flights,Fee per aircraft movement on airfield,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Cost
SAF Incentive (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,Heathrow Airport Ltd,Airport,Option,Numeric,Flights,Discount/credit for sustainable aviation fuel use,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Option
H7 Regulatory Period (LHR),Heathrow Conditions of Use 2025/26,Airport Document,Revenue Management,CAA (regulator),Regulator,Market,Date Range,Parties,CAA price control period Jan 2022 — Dec 2026,OBSERVED,TP12,Airport Charge Assessment,Revenue Management,GTAA Fees 2025; PANYNJ 2024; Heathrow CoU 2025/26,Market
grandTotal,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Numeric (string),Shopping,Total amount paid by user including fees and selected additional services,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
grandTotal,Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Income,Numeric (string),Shopping,Total amount paid by user including fees and selected additional services,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
base (price),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Numeric (string),Shopping,Base fare amount before taxes and fees,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Income
base (price),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Carrier,Carrier,Income,Numeric (string),Shopping,Base fare amount before taxes and fees,OBSERVED,TP03,Order Confirmation & Ticketing,Revenue Management,IATA ONE Order Order lifecycle; IATA EMD Resolution 725,Income
fees (SUPPLIER / TICKETING),Amadeus Flight Offers Search API (OpenAPI),Vendor API,Revenue Management,Amadeus,Vendor,Cost,Array (numeric),Shopping,Supplier and ticketing fees added to base fare,OBSERVED,TP02,Offer Pricing & Display,Revenue Management / Distribution,IATA ONE Order Offer lifecycle; Amadeus OpenAPI,Cost
