Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Data Type,AIDM Domain,Notes,Data Access
Release Sell Date (SSIM),IATA SSIM (public structure),Industry Schema,Revenue Management,Carrier,Carrier,Option,Date,Shopping,Date when schedule data becomes publicly available — controls distribution,OBSERVED
Minimum Connect Time (SSIM),IATA SSIM (public structure),Industry Schema,Distribution / GDS,Airport,Airport,Market/Cost,Numeric (minutes),Flights,Minimum time required between connecting flights at airport,OBSERVED
Transaction Price (IFRS 15 via IATA IAWG),IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Shopping,Total consideration received for ticket + points bundle — IFRS 15 allocation input,OBSERVED
SSP — Points Component,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Option,Numeric,Order Management,Standalone selling price of points issued at sale — deferred revenue basis,OBSERVED
Deferred Revenue Liability,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Balance sheet liability for unredeemed points — IFRS 15 contract liability,OBSERVED
Breakage Estimate,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric (%),Order Management,Expected % of points never redeemed — recognized as revenue when certain,MNAR
Partner Airline Agency Fee,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,Numeric,Settlement with Orders,Payment to partner airline for redemption flights — agent relationship,MNAR
Service Charge Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Numeric,Flights,Per-service fee for each ground handling category,MNAR
Payment Terms — 30 days (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,IATA,Industry Body,Cost,Numeric (days),Settlement with Orders,Settlement due 30 days after date of invoicing — SGHA standard term,OBSERVED
Liability Limit (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk,Numeric,Flights,Maximum handler liability for loss or damage per occurrence,MNAR
Minimum Wage Adjustment (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk/Cost,Categorical,Flights,Right to request fee adjustment if minimum wage legislation changes,MNAR
Audit Right (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Carrier,Carrier,Risk,Boolean,Parties,Carrier right to audit handler and sub-contractors,OBSERVED
Section 2 Passenger Services Fee (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost/Income,Numeric,Parties,Check-in / boarding / arrivals handling charge — variable by airline,MNAR
Baggage Handling Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Numeric,Baggage,Per-bag or per-flight baggage handling fee,MNAR
EMD Number,IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income,String (numeric),Order Management,Unique document identifier — like e-ticket number for ancillary services,OBSERVED
Service Code (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income/Market,String (RFIC/RFISC),Order Management,IATA code classifying the ancillary service type,OBSERVED
Ancillary Charge Amount,IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Numeric,Order Management,Fee charged for ancillary service,OBSERVED
EMD-A (Associated),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,String/Reference,Order Management,EMD linked to specific flight PNR / Order,OBSERVED
EMD-S (Standalone),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,String/Reference,Order Management,EMD issued independently of specific flight segment,OBSERVED
Change Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Risk,Numeric,Order Management,Penalty for modifying booking — collected via EMD,OBSERVED
Upgrade Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Option,Numeric,Shopping,Charge for cabin class upgrade — optional service,OBSERVED
Refund Amount (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Numeric,Payments,Value returned to passenger on cancellation of ancillary service,OBSERVED
Coupon Status (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Categorical,Order Management,open / used / refunded / void — lifecycle state of EMD coupon,OBSERVED
